NP_249325.1	PA0634	NODATA
NP_249326.1	PA0635	NODATA
NP_249327.1	PA0636	NODATA
NP_249328.1	PA0637	NODATA
NP_249329.1	PA0638	NODATA
NP_249330.1	PA0639	NODATA
NP_249331.1	PA0640	NODATA
NP_249332.1	PA0641	NODATA
NP_249334.1	PA0643	NODATA
NP_249335.1	PA0644	NODATA
NP_249336.1	PA0645	NODATA
NP_249337.1	PA0646	NODATA
NP_249338.1	PA0647	NODATA
NP_249339.1	PA0648	NODATA
NP_249340.1	PA0649	trpG
NP_249341.1	PA0650	trpD
NP_249342.1	PA0651	trpC
NP_249343.1	PA0652	vfr
NP_249344.1	PA0653	NODATA
NP_249345.1	PA0654	speD
NP_249346.1	PA0655	NODATA
NP_249347.1	PA0656	NODATA
NP_249348.1	PA0657	NODATA
NP_249349.1	PA0658	NODATA
NP_249350.1	PA0659	NODATA
NP_249351.1	PA0660	NODATA
NP_249352.1	PA0661	NODATA
NP_249353.1	PA0662	argC
NP_249354.1	PA0663	NODATA
NP_249355.1	PA0664	NODATA
NP_249356.1	PA0665	NODATA
NP_249357.1	PA0666	NODATA
NP_249358.1	PA0667	NODATA
NP_249359.1	PA0668	tyrZ
NP_249360.3	PA0669	NODATA
NP_249361.1	PA0670	NODATA
NP_249362.1	PA0671	NODATA
NP_249363.1	PA0672	hemO
NP_249364.1	PA0673	NODATA
NP_249365.1	PA0674	vreA
NP_249366.1	PA0675	vreI
NP_249367.1	PA0676	vreR
NP_249368.1	PA0677	NODATA
NP_249369.1	PA0678	NODATA
NP_249370.1	PA0679	NODATA
NP_249371.1	PA0680	NODATA
NP_249372.1	PA0681	NODATA
NP_249373.1	PA0682	NODATA
NP_249374.1	PA0683	NODATA
NP_249375.1	PA0684	NODATA
NP_249376.1	PA0685	NODATA
NP_249377.1	PA0686	NODATA
NP_249378.1	PA0687	NODATA
NP_249379.1	PA0688	NODATA
NP_249380.1	PA0689	NODATA
NP_249381.1	PA0690	NODATA
NP_249382.1	PA0691	NODATA
NP_249383.1	PA0692	NODATA
NP_249384.1	PA0693	exbB2
NP_249385.1	PA0694	exbD2
NP_249386.1	PA0695	NODATA
NP_249387.1	PA0696	NODATA
NP_249388.1	PA0697	NODATA
NP_249389.1	PA0698	NODATA
NP_249390.1	PA0699	NODATA
NP_249391.1	PA0700	NODATA
NP_249392.1	PA0701	NODATA
YP_008719734.1	PA0701a	NODATA
NP_249393.1	PA0702	NODATA
NP_249394.1	PA0703	NODATA
NP_249395.1	PA0704	NODATA
NP_249396.1	PA0705	migA
NP_249397.1	PA0706	cat
NP_249398.1	PA0707	toxR
NP_249399.1	PA0708	NODATA
NP_249400.1	PA0709	NODATA
NP_249401.1	PA0710	gloA2
NP_249402.1	PA0711	NODATA
NP_249403.1	PA0712	NODATA
NP_249404.1	PA0713	NODATA
NP_249405.1	PA0714	NODATA
NP_249406.1	PA0715	NODATA
NP_249407.1	PA0716	NODATA
NP_249409.1	PA0718	NODATA
NP_249410.1	PA0719	NODATA
NP_249411.1	PA0720	NODATA
NP_249412.1	PA0721	NODATA
NP_249413.1	PA0722	NODATA
NP_249414.1	PA0723	coaB
NP_249415.1	PA0724	NODATA
NP_249416.1	PA0725	NODATA
NP_249417.1	PA0726	NODATA
NP_249418.1	PA0727	NODATA
NP_249419.1	PA0728	NODATA
NP_249420.1	PA0729	NODATA
NP_249421.1	PA0730	NODATA
NP_249422.1	PA0731	NODATA
NP_249423.1	PA0732	NODATA
NP_249424.1	PA0733	NODATA
NP_249425.1	PA0734	NODATA
NP_249426.1	PA0735	NODATA
NP_249427.1	PA0736	NODATA
YP_008719735.1	PA0736a	NODATA
NP_249428.1	PA0737	NODATA
NP_249429.1	PA0738	NODATA
NP_249430.1	PA0739	NODATA
NP_249431.1	PA0740	sdsA1
NP_249432.1	PA0741	NODATA
NP_249433.2	PA0742	NODATA
NP_249434.1	PA0743	NODATA
NP_249435.1	PA0744	NODATA
NP_249436.1	PA0745	NODATA
NP_249437.1	PA0746	NODATA
NP_249438.1	PA0747	NODATA
NP_249440.1	PA0749	NODATA
NP_249441.1	PA0750	ung
NP_249442.1	PA0751	NODATA
NP_249443.1	PA0752	NODATA
NP_249444.1	PA0753	NODATA
NP_249445.1	PA0754	NODATA
NP_249446.1	PA0755	opdH
NP_249447.1	PA0756	NODATA
NP_249448.1	PA0757	NODATA
NP_249449.1	PA0758	NODATA
NP_249450.1	PA0759	NODATA
NP_249451.1	PA0760	NODATA
NP_249452.1	PA0761	nadB
NP_249453.1	PA0762	algU
NP_249454.1	PA0763	mucA
